year,industry,employment,state_name,total_employment,percent
2019,natural resources & mining,7189,Maryland,2700377,0.00266222086767885
2019,construction,165865,Maryland,2700377,0.0614229050240022
2019,manufacturing,112287,Maryland,2700377,0.0415819717024697
2019,"trade, transportation, utilities, & Warehousing",463519,Maryland,2700377,0.171649736314596
2019,information,35309,Maryland,2700377,0.0130755816687818
2019,financial activities,135150,Maryland,2700377,0.050048567292641
2019,professional & business,462824,Maryland,2700377,0.171392364843872
2019,education & health,450492,Maryland,2700377,0.166825595092833
2019,leisure & hospitality,282793,Maryland,2700377,0.104723525641049
2019,other,94842,Maryland,2700377,0.035121762627959
2019,local government,245253,Maryland,2700377,0.0908217630353095
2019,state government,99127,Maryland,2700377,0.0367085780985396
2019,federal government,145695,Maryland,2700377,0.0539535775930546
2020,natural resources & mining,7127,Maryland,2516736,0.00283184251347777
2020,construction,161959,Maryland,2516736,0.0643527966381853
2020,manufacturing,108519,Maryland,2516736,0.0431189445376869
2020,"trade, transportation, utilities, & Warehousing",442361,Maryland,2516736,0.175767740438409
2020,information,33033,Maryland,2516736,0.0131253337656393
2020,financial activities,129594,Maryland,2516736,0.0514928860238023
2020,professional & business,443642,Maryland,2516736,0.176276733038348
2020,education & health,420060,Maryland,2516736,0.166906660054928
2020,leisure & hospitality,211399,Maryland,2516736,0.0839972885515207
2020,other,78464,Maryland,2516736,0.0311768894313905
2020,local government,233698,Maryland,2516736,0.0928575742549079
2020,state government,97336,Maryland,2516736,0.0386754907944258
2020,federal government,149350,Maryland,2516736,0.0593427359882006
2021,natural resources & mining,7543,Maryland,2559896,0.00294660408079078
2021,construction,160251,Maryland,2559896,0.0626005900239697
2021,manufacturing,109000,Maryland,2559896,0.0425798548066015
2021,"trade, transportation, utilities, & Warehousing",438709,Maryland,2559896,0.171377665342655
2021,information,33471,Maryland,2559896,0.013075140552585
2021,financial activities,141741,Maryland,2559896,0.0553698275242432
2021,professional & business,463165,Maryland,2559896,0.180931178454125
2021,education & health,423006,Maryland,2559896,0.165243431764415
2021,leisure & hospitality,230438,Maryland,2559896,0.090018500751593
2021,other,81977,Maryland,2559896,0.0320235665823924
2021,local government,218780,Maryland,2559896,0.0854644094916356
2021,state government,98619,Maryland,2559896,0.03852461193736
2021,federal government,150860,Maryland,2559896,0.0589320816158157
2022,natural resources & mining,7114,Maryland,2641021,0.00269365521894752
2022,construction,161023,Maryland,2641021,0.0609699809278306
2022,manufacturing,112655,Maryland,2641021,0.0426558516573704
2022,"trade, transportation, utilities, & Warehousing",472221,Maryland,2641021,0.178802440419823
2022,information,35818,Maryland,2641021,0.0135621791723731
2022,financial activities,127930,Maryland,2641021,0.0484395996851218
2022,professional & business,475004,Maryland,2641021,0.179856199553127
2022,education & health,430140,Maryland,2641021,0.162868829895711
2022,leisure & hospitality,249678,Maryland,2641021,0.0945384379753133
2022,other,84880,Maryland,2641021,0.0321390856036359
2022,local government,229902,Maryland,2641021,0.0870504248167659
2022,state government,100006,Maryland,2641021,0.0378664160565175
2022,federal government,154650,Maryland,2641021,0.0585568990174633
2023,natural resources & mining,7370,Maryland,2700946,0.00272867358325564
2023,construction,161355,Maryland,2700946,0.0597401799221458
2023,manufacturing,113656,Maryland,2700946,0.0420800712046816
2023,"trade, transportation, utilities, & Warehousing",466180,Maryland,2700946,0.172598785758767
2023,information,35047,Maryland,2700946,0.0129758240261005
2023,financial activities,126675,Maryland,2700946,0.0469002342142346
2023,professional & business,476201,Maryland,2700946,0.176308967302567
2023,education & health,448009,Maryland,2700946,0.165871142925479
2023,leisure & hospitality,263400,Maryland,2700946,0.0975213869510905
2023,other,88955,Maryland,2700946,0.0329347569333115
2023,local government,252503,Maryland,2700946,0.0934868745987517
2023,state government,103115,Maryland,2700946,0.0381773645233929
2023,federal government,158475,Maryland,2700946,0.0586738868529767
